Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-22,JXNFC: Alex Coats' Top 20,top20,https://boxd.it/91Acc,

Position,Name,Year,URL,Description
1,Ocean's Eleven,2001,https://boxd.it/2aZm,
2,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
3,Ratatouille,2007,https://boxd.it/27ww,
4,Skyfall,2012,https://boxd.it/17Fc,
5,Inglourious Basterds,2009,https://boxd.it/1JzG,
6,The Empire Strikes Back,1980,https://boxd.it/27Vw,
7,Howl's Moving Castle,2004,https://boxd.it/23De,
8,Sahara,2005,https://boxd.it/20XK,
9,The Departed,2006,https://boxd.it/28MA,
10,Shaun of the Dead,2004,https://boxd.it/29J8,
11,La La Land,2016,https://boxd.it/a5fa,
12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
13,The Social Network,2010,https://boxd.it/17ue,
14,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
15,Gladiator,2000,https://boxd.it/2b9m,
16,Tinker Tailor Soldier Spy,2011,https://boxd.it/FRY,
17,There Will Be Blood,2007,https://boxd.it/20Z2,
18,The Dark Knight,2008,https://boxd.it/2b0k,
19,The Princess Bride,1987,https://boxd.it/26EY,
20,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,
