Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-10-12,JXNFC: Micah Smith's Top 20,top20,https://boxd.it/8XgbU,

Position,Name,Year,URL,Description
1,The Truman Show,1998,https://boxd.it/18U8,
2,Jurassic Park,1993,https://boxd.it/2aA2,
3,Coraline,2009,https://boxd.it/1NhQ,
4,Young Frankenstein,1974,https://boxd.it/25To,
5,It Follows,2014,https://boxd.it/87wo,
6,Ex Machina,2015,https://boxd.it/7T2k,
7,A Star Is Born,2018,https://boxd.it/aXgc,
8,Whiplash,2014,https://boxd.it/7bQA,
9,Logan Lucky,2017,https://boxd.it/dZrs,
10,Knives Out,2019,https://boxd.it/jWEA,
11,L.A. Confidential,1997,https://boxd.it/27oC,
12,Marriage Story,2019,https://boxd.it/hJAw,
13,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
14,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
15,1917,2019,https://boxd.it/jj4y,
16,Airplane!,1980,https://boxd.it/29yu,
17,Parasite,2019,https://boxd.it/hTha,
18,Matchstick Men,2003,https://boxd.it/215a,
19,Say Anything...,1989,https://boxd.it/27B2,
20,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
