Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-04-14,JXNFC Topic: Soundtracks,,https://boxd.it/gbwEu,"This list is a collection of films discussed in <a href=""https://anchor.fm/jxnfilmclub/episodes/Topic-Movie-Soundtracks-e1ib7up"">Topic: Movie Soundtracks</a> from <a href=""https://anchor.fm/jxnfilmclub"">JXN Film Club The Podcast</a>.

<b>Contributors</b>
Brennan White
Michael Lamb"

Position,Name,Year,URL,Description
1,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,Submitted by Brennan and Michael
2,Nick and Norah's Infinite Playlist,2008,https://boxd.it/1Slo,Submitted by Brennan
3,Elizabethtown,2005,https://boxd.it/1Ydq,Submitted by Brennan
4,Submarine,2010,https://boxd.it/H4a,Submitted by Brennan
5,Up,2009,https://boxd.it/1OEc,Submitted by Brennan
6,Napoleon Dynamite,2004,https://boxd.it/20wu,Submitted by Brennan
7,Almost Famous,2000,https://boxd.it/29CQ,Submitted by Brennan
8,(500) Days of Summer,2009,https://boxd.it/1EmM,Submitted by Brennan
9,Runaway Bride,1999,https://boxd.it/23Om,Submitted by Brennan
10,Inception,2010,https://boxd.it/1skk,Submitted by Brennan
11,Baby Driver,2017,https://boxd.it/bhF2,Submitted by Michael
12,Inside Llewyn Davis,2013,https://boxd.it/34Ro,Submitted by Michael
13,Newsies,1992,https://boxd.it/1MtG,Submitted by Michael
14,Rock-A-Doodle,1991,https://boxd.it/1DvS,Submitted by Michael
15,Little Monsters,2019,https://boxd.it/iarm,Submitted by Michael
16,Booksmart,2019,https://boxd.it/igNS,Submitted by Michael
