Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-02-03,JXNFC: Good Actors in Bad Movies,yir2021,https://boxd.it/fhlKY,"This list is a collection of films discussed in the episode of JXN Film Club The Podcast <a href=""https://anchor.fm/jxnfilmclub/episodes/Topic-Good-Actors-in-Bad-Movies-e1h3791"">Film Club Topic #3</a>.

<b>Contributors</b>
Micah Smith
Sam Graef
Michael Lamb"

Position,Name,Year,URL,Description
1,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,"Actor: Adam Driver
Submitted by Sam"
2,Lincoln,2012,https://boxd.it/2n2s,"Actor: Daniel Day-Lewis
Submitted by Sam"
3,Gangs of New York,2002,https://boxd.it/25FG,"Actor: Daniel Day-Lewis
Submitted by Sam"
4,Velvet Buzzsaw,2019,https://boxd.it/gAy0,"Actor: Jake Gyllenhaal
Submitted by Sam"
5,The Devil All the Time,2020,https://boxd.it/i2tY,"Actor: Robert Pattinson
Submitted by Sam"
6,Twilight,2008,https://boxd.it/1Zui,"Actor: Robert Pattinson & Kristen Stewart
Hot Take Submitted by Michael"
7,Malevolent,2018,https://boxd.it/hijI,"Actor: Florence Pugh
Esoteric Submission by Michael"
8,Snowden,2016,https://boxd.it/9CWO,"Actor: Joseph Gordon-Levitt
Modern Submission by Michael"
9,Encounter,2021,https://boxd.it/rjGI,"Actor: Riz Ahmed
New Release Submission by Michael"
10,The Amazing Spider-Man,2012,https://boxd.it/27PI,"Actor: Andrew Garfield & Emma Stone
Submitted by Sam"
11,Us,2019,https://boxd.it/gnV6,"Actor: Lupita Nyong'o
Submitted by Sam"
12,Easy A,2010,https://boxd.it/17DK,"Actor: Emma Stone
Submitted by Michael"
13,Super Mario Bros.,1993,https://boxd.it/1YfG,"Actor: Bob Hoskins
Submitted by Micah"
14,Guns Akimbo,2019,https://boxd.it/gkFu,"Actor: Daniel Radcliffe
Submitted by Micah"
15,Fatman,2020,https://boxd.it/mdqY,"Actor: Mel Gibson
Submitted by MIcah"
16,The Great Gatsby,2013,https://boxd.it/JY,"Actor: Carey Mulligan
Submitted by Micah"
17,The Purge,2013,https://boxd.it/4Xg0,"Actor: Ethan Hawke
Submitted by Micah"
18,Blockers,2018,https://boxd.it/fxEW,"Actor: Geraldine Viswanathan
Submitted by Micah"
19,The Book of Eli,2010,https://boxd.it/1Dnu,"Actor: Denzel Washington
Submitted by Micah"
20,Glass,2019,https://boxd.it/g3uO,"Actor: James McAvoy
Submitted by Sam"
21,Wanted,2008,https://boxd.it/1ZBS,"Actor: James McAvoy
Submitted by Micah"
